Geographic area,Female,Male,Total
Aruba,99.39000,99.60000,99.50000
Afghanistan,56.25475,74.08480,65.42055
Albania,99.63000,99.05000,99.33000
Argentina,99.75765,99.24183,99.50552
Benin,51.94362,69.76118,60.94808
Burkina Faso,54.67000,61.79000,58.29000
Bangladesh,94.91259,91.80372,93.29644
Bahrain,99.30134,99.97614,99.68720
Belarus,99.87000,99.83000,99.85000
Brazil,99.43153,98.98358,99.20417
Brunei Darussalam,99.78966,99.63516,99.70894
Central African Republic,28.70666,47.80493,38.26865
China,99.78338,99.78379,99.78360
Côte d'Ivoire,53.02510,63.84492,58.42015
Cameroon,82.41000,87.72000,85.08000
Congo,78.74231,85.34165,82.05479
Colombia,99.06960,98.63383,98.85165
Comoros,78.30236,78.23941,78.27039
Costa Rica,99.53000,99.34000,99.43000
Algeria,97.25216,97.59406,97.42652
Eritrea,92.71403,93.81868,93.27239
Spain,99.74390,99.68850,99.71555
Gabon,91.44938,88.14196,89.78366
Ghana,92.20855,92.76100,92.49097
Honduras,98.18510,94.89199,96.51584
Indonesia,99.69625,99.71748,99.70708
India,90.16941,92.99297,91.66404
Iraq,52.70813,59.80415,56.33909
Italy,99.95000,99.92000,99.93000
Jordan,99.49391,99.19612,99.34374
Kenya,88.08000,87.59000,87.83000
Kyrgyzstan,99.81000,99.69000,99.75000
Kuwait,99.50355,98.77679,99.08013
Lebanon,99.83898,99.66274,99.75182
Morocco,97.40000,98.04000,97.73000
Madagascar,80.67803,81.71984,81.19837
Mexico,99.38847,99.24864,99.31845
Mali,43.39811,57.83326,50.13470
Malta,99.56088,99.05695,99.30071
Montenegro,98.97000,99.23000,99.11000
Mongolia,99.08000,98.19000,98.63000
Mauritius,99.35342,98.73798,99.04203
Namibia,96.19844,94.10937,95.16490
Nigeria,68.26263,81.58064,75.02875
Nepal,90.88347,94.03428,92.39381
Oman,98.97943,98.35663,98.61783
Panama,98.87429,99.31220,99.09909
Peru,98.96697,99.07920,99.02376
Portugal,99.70156,99.62657,99.66392
Paraguay,98.86784,97.73242,98.28152
State of Palestine,99.38239,99.29223,99.33625
Romania,99.43968,99.41938,99.42919
Russian Federation,99.74909,99.64997,99.69845
Rwanda,88.50182,84.32593,86.49277
Sudan,73.49000,72.51000,73
Singapore,99.94237,99.91742,99.92963
Sierra Leone,62.69922,70.57611,66.64860
San Marino,100,100,100
Serbia,98.18000,98.41000,98.30000
Sao Tome and Principe,97.85418,97.71246,97.78255
Suriname,98.39996,98.87544,98.64556
Eswatini,96.69525,94.29769,95.46937
Seychelles,99.60000,98.56000,99.07000
Timor-Leste,84.65051,82.45848,83.53903
Tonga,99.53978,99.34871,99.44112
Uganda,89.95064,88.82690,89.39631
Uruguay,99.16599,98.60475,98.88027
Viet Nam,98.35314,98.46012,98.40810
Vanuatu,96.59661,95.97657,96.28212
Samoa,99.43575,98.84151,99.12348
Zambia,91.62819,92.55964,92.09157
