Geographic area,Female,Male,Total
Aruba,55.602,50.244,105.846
Afghanistan,18078.879,19093.043,37171.922
Angola,15568.328,15241.459,30809.787
Anguilla,,,14.738
Albania,1414.359,1468.376,2882.735
Andorra,,,77.008
United Arab Emirates,2950.609,6680.357,9630.966
Argentina,22729.477,21631.673,44361.15
Armenia,1563.141,1388.6,2951.741
American Samoa,,,55.461
Antigua and Barbuda,49.863,46.419,96.282
Australia,12498.779,12399.374,24898.153
Austria,4519.439,4371.944,8891.383
Azerbaijan,4986.285,4963.252,9949.537
Burundi,5634.849,5540.53,11175.379
Belgium,5809.216,5672.964,11482.18
Benin,5753.796,5731.239,11485.035
Burkina Faso,9894.592,9856.874,19751.466
Bangladesh,79699.596,81677.117,161376.713
Bulgaria,3625.521,3426.089,7051.61
Bahrain,570.464,998.976,1569.44
Bahamas,198.313,187.322,385.635
Bosnia and Herzegovina,1695.554,1628.375,3323.929
Belarus,5052.995,4399.62,9452.615
Belize,192.273,190.798,383.071
Bermuda,,,62.763
Bolivia (Plurinational State of),5651.979,5701.161,11353.14
Brazil,106473.081,102996.239,209469.32
Barbados,148.115,138.525,286.64
Brunei Darussalam,206.056,222.904,428.96
Bhutan,354.586,399.81,754.396
Botswana,1166.046,1088.021,2254.067
Central African Republic,2353.555,2312.82,4666.375
Canada,18682.437,18392.121,37074.558
Switzerland,4299.222,4226.392,8525.614
Channel Islands,86.15,84.346,170.496
Chile,9500.75,9228.416,18729.166
China,694970.006,732677.783,1427647.789
Côte d'Ivoire,12414.06,12655.166,25069.226
Cameroon,12609.01,12607.251,25216.261
Democratic Republic of the Congo,42116.217,41951.875,84068.092
Congo,2625.622,2618.741,5244.363
Cook Islands,,,17.519
Colombia,25290.276,24370.78,49661.056
Comoros,412.488,419.834,832.322
Cabo Verde,270.898,272.866,543.764
Costa Rica,2500.214,2499.229,4999.443
Cuba,5706.812,5631.334,11338.146
Curaçao,88.042,74.711,162.753
Cayman Islands,,,64.172
Cyprus,594.287,594.975,1189.262
Czechia,5419.081,5246.598,10665.679
Germany,42111.133,41013.28,83124.413
Djibouti,454.211,504.712,958.923
Dominica,,,71.626
Denmark,2891.838,2860.293,5752.131
Dominican Republic,5314.402,5312.745,10627.147
Algeria,20896.422,21331.993,42228.415
Ecuador,8537.161,8547.198,17084.359
Egypt,48690.128,49733.474,98423.602
Eritrea,1722.421,1730.376,3452.797
Spain,23765.099,22927.764,46692.863
Estonia,699.271,623.642,1322.913
Ethiopia,54589.146,54635.264,109224.41
Finland,2801.097,2721.488,5522.585
Fiji,435.565,447.925,883.49
Falkland Islands (Malvinas),,,3.236
France,33524.862,31465.65,64990.512
Faroe Islands,,,48.497
Micronesia (Federated States of),55.368,57.272,112.64
Gabon,1039.899,1079.376,2119.275
United Kingdom,33997.373,33144.305,67141.678
Georgia,2093.19,1909.756,4002.946
Ghana,14682.873,15084.235,29767.108
Gibraltar,,,33.715
Guinea,6433.224,5981.068,12414.292
Guadeloupe,215.076,184.772,399.848
Gambia,1149.215,1130.877,2280.092
Guinea-Bissau,959.059,915.245,1874.304
Equatorial Guinea,581.912,727.054,1308.966
Greece,5357.527,5164.717,10522.244
Grenada,55.287,56.162,111.449
Greenland,,,56.565
Guatemala,8754.899,8492.956,17247.855
French Guiana,143.197,139.739,282.936
Guam,82.047,83.723,165.77
Guyana,388.008,390.999,779.007
"China, Hong Kong SAR",3975.753,3395.975,7371.728
Honduras,4798.492,4789.031,9587.523
Croatia,2155.206,2001.201,4156.407
Haiti,5634.138,5489.045,11123.183
Hungary,5089.879,4617.623,9707.502
Indonesia,132882.052,134788.497,267670.549
Isle of Man,,,84.073
India,649586.703,703055.58,1352642.283
Ireland,2429.851,2388.843,4818.694
Iran (Islamic Republic of),40441.309,41358.895,81800.204
Iraq,18989.537,19444.067,38433.604
Iceland,167.722,168.99,336.712
Israel,4215.741,4165.766,8381.507
Italy,31148.283,29479.008,60627.291
Jamaica,1477.4,1457.453,2934.853
Jordan,4921.841,5043.481,9965.322
Japan,65075.698,62126.492,127202.19
Kazakhstan,9436.706,8882.91,18319.616
Kenya,25858.696,25533.874,51392.57
Kyrgyzstan,3185.1,3118.925,6304.025
Cambodia,8319.567,7930.228,16249.795
Kiribati,58.904,56.938,115.842
Saint Kitts and Nevis,,,52.438
Republic of Korea,25543.317,25628.383,51171.7
Kuwait,1636.232,2501.082,4137.314
Lao People's Democratic Republic,3515.875,3545.623,7061.498
Lebanon,3409.524,3449.884,6859.408
Liberia,2398.322,2420.654,4818.976
Libya,3304.807,3373.758,6678.565
Saint Lucia,92.31,89.58,181.89
Liechtenstein,,,37.918
Sri Lanka,11031.911,10196.849,21228.76
Lesotho,1069.278,1039.049,2108.327
Lithuania,1506.858,1294.412,2801.27
Luxembourg,299.338,304.906,604.244
Latvia,1041.565,886.896,1928.461
Macao,328.312,303.321,631.633
Morocco,18160.047,17869.042,36029.089
Monaco,,,38.682
Republic of Moldova,2108.455,1943.495,4051.95
Madagascar,13163.713,13098.6,26262.313
Maldives,192.177,323.527,515.704
Mexico,64469.963,61720.819,126190.782
Marshall Islands,,,58.412
North Macedonia,1040.78,1042.177,2082.957
Mali,9527.621,9550.134,19077.755
